table_schema|table_name                   |column_name                  |data_type                  |is_nullable|column_default                           |
------------+-----------------------------+-----------------------------+---------------------------+-----------+-----------------------------------------+
public      |ai_review_prompts            |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |ai_review_prompts            |project_category             |character varying          |NO         |                                         |
public      |ai_review_prompts            |question_text                |text                       |NO         |                                         |
public      |ai_review_prompts            |is_active                    |boolean                    |NO         |true                                     |
public      |ai_review_prompts            |created_at                   |timestamp with time zone   |NO         |now()                                    |
public      |appeals                      |appeal_id                    |uuid                       |NO         |gen_random_uuid()                        |
public      |appeals                      |user_id                      |uuid                       |NO         |                                         |
public      |appeals                      |target_type                  |text                       |NO         |                                         |
public      |appeals                      |target_id                    |uuid                       |NO         |                                         |
public      |appeals                      |message                      |text                       |NO         |                                         |
public      |appeals                      |status                       |text                       |NO         |'pending'::text                          |
public      |appeals                      |admin_user_id                |uuid                       |YES        |                                         |
public      |appeals                      |admin_note                   |text                       |YES        |                                         |
public      |appeals                      |actioned_at                  |timestamp without time zone|YES        |                                         |
public      |appeals                      |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |bias_detection_log           |id                           |uuid                       |NO         |uuid_generate_v4()                       |
public      |bias_detection_log           |freelancer_id                |uuid                       |NO         |                                         |
public      |bias_detection_log           |review_id                    |uuid                       |NO         |                                         |
public      |bias_detection_log           |detected_factors             |jsonb                      |NO         |'{}'::jsonb                              |
public      |bias_detection_log           |score_before_adjustment      |numeric                    |YES        |                                         |
public      |bias_detection_log           |score_after_adjustment       |numeric                    |YES        |                                         |
public      |bias_detection_log           |adjustment_applied           |boolean                    |NO         |false                                    |
public      |bias_detection_log           |logged_at                    |timestamp with time zone   |NO         |now()                                    |
public      |client                       |client_id                    |uuid                       |NO         |gen_random_uuid()                        |
public      |client                       |user_id                      |uuid                       |NO         |                                         |
public      |client                       |full_name                    |character varying          |YES        |                                         |
public      |client                       |bio                          |text                       |YES        |                                         |
public      |client                       |website_url                  |character varying          |YES        |                                         |
public      |client                       |total_jobs_posted            |integer                    |YES        |0                                        |
public      |client                       |total_jobs_completed         |integer                    |YES        |0                                        |
public      |client                       |average_rating_given         |numeric                    |YES        |                                         |
public      |client                       |created_at                   |timestamp without time zone|YES        |now()                                    |
public      |client                       |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |client                       |profile_picture_url          |character varying          |YES        |                                         |
public      |client                       |contract_message_template    |text                       |YES        |                                         |
public      |client_scam_record           |record_id                    |uuid                       |NO         |gen_random_uuid()                        |
public      |client_scam_record           |client_id                    |uuid                       |NO         |                                         |
public      |client_scam_record           |total_scam_confirmed         |integer                    |NO         |0                                        |
public      |client_scam_record           |is_banned                    |boolean                    |NO         |false                                    |
public      |client_scam_record           |banned_at                    |timestamp without time zone|YES        |                                         |
public      |client_scam_record           |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |client_trust_score           |client_trust_score_id        |uuid                       |NO         |gen_random_uuid()                        |
public      |client_trust_score           |client_id                    |uuid                       |NO         |                                         |
public      |client_trust_score           |trust_score                  |numeric                    |YES        |                                         |
public      |client_trust_score           |rating_consistency_score     |numeric                    |YES        |                                         |
public      |client_trust_score           |extreme_rating_ratio         |numeric                    |YES        |                                         |
public      |client_trust_score           |project_completion_rate      |numeric                    |YES        |                                         |
public      |client_trust_score           |average_budget_gap           |numeric                    |YES        |                                         |
public      |client_trust_score           |total_ratings_given          |integer                    |YES        |0                                        |
public      |client_trust_score           |last_calculated_at           |timestamp without time zone|YES        |                                         |
public      |client_trust_score           |updated_at                   |timestamp without time zone|YES        |now()                                    |
public      |contract                     |contract_id                  |uuid                       |NO         |gen_random_uuid()                        |
public      |contract                     |job_post_id                  |uuid                       |NO         |                                         |
public      |contract                     |job_role_id                  |uuid                       |NO         |                                         |
public      |contract                     |proposal_id                  |uuid                       |NO         |                                         |
public      |contract                     |freelancer_id                |uuid                       |NO         |                                         |
public      |contract                     |client_id                    |uuid                       |NO         |                                         |
public      |contract                     |contract_title               |character varying          |NO         |                                         |
public      |contract                     |role_title                   |character varying          |YES        |                                         |
public      |contract                     |agreed_budget                |numeric                    |NO         |                                         |
public      |contract                     |budget_currency              |character varying          |YES        |'USD'::character varying                 |
public      |contract                     |payment_structure            |USER-DEFINED               |NO         |                                         |
